fpr	tpr	threshold
0.0	0.0	inf
0.00036101083032490973	0.0	0.9921208769415639
0.003971119133574007	0.0	0.9921187190492665
0.005415162454873646	0.0	0.9921180718828561
0.005415162454873646	0.0017482517482517483	0.9921097279006919
0.007220216606498195	0.0017482517482517483	0.9876706456679613
0.008664259927797834	0.0017482517482517483	0.9876700937239568
0.009747292418772563	0.0017482517482517483	0.98755901502198
0.009747292418772563	0.06818181818181818	0.9767443018764975
0.010469314079422382	0.06818181818181818	0.976446905457155
0.010469314079422382	0.08041958041958042	0.9724488631734899
0.010830324909747292	0.08041958041958042	0.972417155051231
0.011552346570397111	0.08041958041958042	0.9724170961045496
0.01227436823104693	0.08041958041958042	0.972405508339505
0.01227436823104693	0.08216783216783216	0.971738295403732
0.013357400722021661	0.08216783216783216	0.9715196052889287
0.013357400722021661	0.08566433566433566	0.9708714672740711
0.01444043321299639	0.08566433566433566	0.9708642784068119
0.01444043321299639	0.11538461538461539	0.9659688599164696
0.01516245487364621	0.11538461538461539	0.9658560368578106
0.01516245487364621	0.12412587412587413	0.9635596173762252
0.01552346570397112	0.12412587412587413	0.9631643228237937
0.01660649819494585	0.12412587412587413	0.9631571623091836
0.01660649819494585	0.1888111888111888	0.9524643817384072
0.0184115523465704	0.1888111888111888	0.9522693541558904
0.0184115523465704	0.26048951048951047	0.9482604259540326
0.018772563176895306	0.26048951048951047	0.9481308138558039
0.018772563176895306	0.2744755244755245	0.9463517887169939
0.019133574007220218	0.2744755244755245	0.9457056563232779
0.019133574007220218	0.30244755244755245	0.9341953730380261
0.019494584837545126	0.30244755244755245	0.9340662849884765
0.019494584837545126	0.32517482517482516	0.9243414432578292
0.020216606498194945	0.32517482517482516	0.9238623342074925
0.020216606498194945	0.32867132867132864	0.9224469799590712
0.020577617328519857	0.32867132867132864	0.9219488155318724
0.020577617328519857	0.3304195804195804	0.9210588150786237
0.021299638989169676	0.3304195804195804	0.92069607765673
0.021299638989169676	0.35664335664335667	0.9132891719518157
0.022021660649819495	0.35664335664335667	0.9129853292147162
0.022021660649819495	0.3618881118881119	0.9119719204303378
