threshold	precision	recall	F1
0.013983353914601203	0.17115499700777978	1.0	0.29228410832907514
0.018763225876667424	0.17125748502994012	1.0	0.2924335378323108
0.031582135564705564	0.1713600958657879	1.0	0.2925831202046036
0.03178116429434803	0.17141144740785136	1.0	0.29265796878997186
0.03318268507258244	0.17146282973621102	1.0	0.29273285568065505
0.04158214649483331	0.1715142428785607	1.0	0.292807780906066
0.046601451017003734	0.17156568686262746	1.0	0.2928827444956477
0.051102238601878576	0.1716171617161716	1.0	0.29295774647887324
0.051953448298342	0.17172020414290004	1.0	0.29310786574429926
0.05306791848858943	0.17177177177177178	1.0	0.29318298308559715
0.053069061087980936	0.1719783523752255	1.0	0.2934838378655721
0.05524340022575109	0.17203007518796992	1.0	0.29355914806261224
0.05537051404584696	0.17208182912154033	1.0	0.2936344969199179
0.056053116634565206	0.1721336142040325	1.0	0.2937098844672657
0.05684361157758885	0.17218543046357615	1.0	0.2937853107344633
0.05684382094088535	0.1723930078360458	1.0	0.29408740359897173
0.056843999772608296	0.1724449804039795	1.0	0.2941630239136025
0.05709187567445407	0.17249698431845598	1.0	0.294238683127572
0.0571385958863602	0.17254901960784313	1.0	0.294314381270903
0.057139014638509	0.172809667673716	1.0	0.29469345698093763
0.057435017767045966	0.17286189181021458	1.0	0.2947693893326463
0.05743525943267407	0.17307110438729198	1.0	0.2950735104462213
0.057435261670323236	0.17312348668280872	1.0	0.2951496388028896
0.057838576923802905	0.17317590069633668	1.0	0.2952258064516129
0.0579572333811677	0.1732283464566929	1.0	0.2953020134228188
0.05803219840572665	0.17349105247194418	1.0	0.29568363918325147
0.05803243337547071	0.17386018237082068	1.0	0.29621957534955984
0.05803259421836976	0.17391304347826086	1.0	0.29629629629629634
0.05803264319870575	0.17396593673965938	1.0	0.2963730569948187
0.0580326776602773	0.17401886218436263	1.0	0.2964498574760301
0.05803305229683827	0.17407181984175288	1.0	0.2965266977708657
0.05804585116067665	0.1741248097412481	1.0	0.29660357791029296
0.05893890256130827	0.17417783191230207	1.0	0.29668049792531126
0.05893911812159158	0.174390243902439	1.0	0.29698857736240913
0.058939118812491136	0.17444342787435194	1.0	0.29706569722150095
0.05904337846333192	0.174496644295302	1.0	0.29714285714285715
0.05915030675246467	0.17454989319499542	1.0	0.29722005715770333
0.05962762760999666	0.1746031746031746	1.0	0.29729729729729726
0.059627835881221516	0.17465648854961832	1.0	0.29737457759292957
0.05962785087950299	0.17470983506414173	1.0	0.29745189807592304
0.05962794121405445	0.1747632141765964	1.0	0.2975292587776333
0.05962828663480445	0.17481662591687042	1.0	0.2976066597294485
0.05978169803548261	0.1748700703148884	1.0	0.29768410096278947
0.05978193421468732	0.17503059975520197	1.0	0.29791666666666666
0.05978213633027748	0.1750841750841751	1.0	0.2979942693409742
0.05978237837496135	0.17513778322106552	1.0	0.29807191245440334
0.060088204315601496	0.17519142419601838	1.0	0.2981495960385718
0.06030698370166134	0.17524509803921567	1.0	0.2982273201251303
0.06048047385992468	0.1753525444512569	1.0	0.2983828899321857
0.06059982608706011	0.1754063170806501	1.0	0.29846073571614923
0.06063576852268274	0.1755139613378337	1.0	0.2986165492038632
0.0606364890214298	0.17562173779551735	1.0	0.29877252546356753
0.06127195797243004	0.17567567567567569	1.0	0.2988505747126437
0.0612798510191977	0.176	1.0	0.29931972789115646
0.06128034121752006	0.17616261164151525	1.0	0.29955485729248493
0.061280556658782515	0.17621688231669747	1.0	0.2996333158721844
0.061679025373739614	0.17627118644067796	1.0	0.2997118155619597
0.06171140771872113	0.17632552404438964	1.0	0.29979035639412993
0.06182477557748989	0.1763798951588036	1.0	0.2998689384010485
0.061986333750519824	0.17643429981492906	1.0	0.2999475616151023
0.062034038200949985	0.1765432098765432	1.0	0.3001049317943337
0.062036122780620734	0.1766522544780729	1.0	0.30026246719160105
0.062330113160645684	0.17670682730923695	1.0	0.3003412969283277
0.06233056599793067	0.1769254562326013	1.0	0.3006570302233903
0.06270490257609979	0.17698019801980197	1.0	0.30073606729758146
0.06289386655495681	0.1770349736923553	1.0	0.3008151459374178
0.0628943188915668	0.1771995043370508	1.0	0.30105263157894735
0.06299098638237514	0.17725441586612953	1.0	0.3011318768096867
0.06299121467650012	0.1774193548387097	1.0	0.3013698630136986
0.06313692844169365	0.17747440273037543	1.0	0.30144927536231886
0.06313715650394745	0.17763975155279504	1.0	0.3016877637130802
0.0631371682871848	0.17769493631562597	1.0	0.30176734370878394
0.0631373860172933	0.17775015537600994	1.0	0.30184696569920844
0.06318619992691725	0.17780540876593098	1.0	0.30192662971760353
0.06318678878229396	0.17791601866251944	1.0	0.30208608397148135
0.06318724794597198	0.17802676626206038	1.0	0.3022457067371202
0.06320189275005586	0.1780821917808219	1.0	0.3023255813953488
0.06320250139415273	0.1781931464174455	1.0	0.30248545742993127
0.06322627043256748	0.17824867559987534	1.0	0.30256545887331393
0.06322673080771761	0.1784154709918902	1.0	0.30280571731074646
0.06327505210393364	0.17847113884555382	1.0	0.3028858882711147
0.06327531428734921	0.17858257883234468	1.0	0.30304635761589405
0.06327576952364632	0.17863835103060588	1.0	0.30312665606783257
0.06328145726161184	0.17869415807560138	1.0	0.3032069970845481
0.06333572715756557	0.17875	1.0	0.30328738069989397
0.06338033843279023	0.17886178861788618	1.0	0.30344827586206896
0.06343136516406873	0.17891773537691585	1.0	0.3035287874767843
0.06343557085508002	0.17902973395931143	1.0	0.30368993894345636
0.06344606445009832	0.17914187284685248	1.0	0.3038512616201859
0.06344678367743783	0.1793103448275862	1.0	0.304093567251462
0.06345547677045389	0.17936657259328942	1.0	0.30417442169635733
0.06346721969664466	0.17947913398180107	1.0	0.3043362596435222
0.06354431185261704	0.17959183673469387	1.0	0.3044982698961938
0.06354658364899995	0.17964824120603015	1.0	0.3045793397231097
0.06354992952947895	0.17976115650534255	1.0	0.3047416089504529
0.06359716187342318	0.17981766740018862	1.0	0.30482280841993076
0.06361750759857081	0.17987421383647798	1.0	0.30490405117270786
0.06363651001863986	0.1801007556675063	1.0	0.3052294557097119
0.06374865225956519	0.18015748031496062	1.0	0.30531091539898586
0.06374866804077638	0.18027103687362117	1.0	0.3054739652870494
0.06374937284760925	0.18032786885245902	1.0	0.3055555555555556
0.06375661106805722	0.1803847366761274	1.0	0.30563718942025114
0.06375709273924601	0.18049857999368887	1.0	0.305800588078054
0.06375711270496434	0.18055555555555555	1.0	0.30588235294117644
0.06376625672394617	0.1806125670982002	1.0	0.30596416154051886
0.06399972113988897	0.18072669826224327	1.0	0.3061279100883061
0.06406564754292975	0.18084097375908947	1.0	0.3062918340026774
0.06418710594235995	0.18095539386270168	1.0	0.3064559335654969
0.0642168413095002	0.18106995884773663	1.0	0.30662020905923343
0.0642373472132442	0.18129952456418383	1.0	0.30694928897236384
0.0643204328098839	0.18141452584839834	1.0	0.30711409395973155
0.06441349089545433	0.1814720812182741	1.0	0.30719656283566055
0.06447276943153915	0.18158730158730158	1.0	0.30736163353036
0.06452604199001208	0.18170266836086404	1.0	0.30752688172043013
0.06454746965760078	0.18181818181818182	1.0	0.3076923076923077
0.06454831879897331	0.18193384223918574	1.0	0.3078579117330462
0.06457251142537812	0.18199172764874325	1.0	0.30794078061911173
0.06460638915805228	0.18210760904170648	1.0	0.3081066523027202
0.0646203466343229	0.18222363810130615	1.0	0.30827270277553226
0.06482974861277922	0.1822817080943276	1.0	0.30835579514824796
0.06485996220858246	0.18239795918367346	1.0	0.30852211434735705
0.06489779638752463	0.18251435864709636	1.0	0.30868861305990286
0.06490014474975704	0.1825726141078838	1.0	0.30877192982456136
0.06499422468889254	0.1826309067688378	1.0	0.30885529157667385
0.06507266815474125	0.18274760383386582	1.0	0.309022150189087
0.06507448802630612	0.18286445012787725	1.0	0.3091891891891892
0.06508049001612358	0.18292292932523185	1.0	0.3092727764260611
0.06516331336346456	0.18304	1.0	0.30944008655666755
0.0651646293993466	0.18315722062119758	1.0	0.3096075778078485
0.06519943590902898	0.1832158872517617	1.0	0.30969139144558744
0.06522336008191794	0.18333333333333332	1.0	0.30985915492957744
0.06522795736724124	0.18339211285668483	1.0	0.3099431048496342
0.06531098170352756	0.18345093008338678	1.0	0.31002710027100266
